SBB 45-top,,,,,Total,,,,Terrig,
,,,,,Mass Flux,Carbon Flux,CaCO3 Flux,OPAL Flux,Flux,Nitro Flux
Cup,Duration,Date,Julian Day,Mid-Julian,(g/m2/day),(gC/m2/day), (g/m2/day),(g/m2/day),(g/m2/day),(g/m2/day)
1,15,10/27/2016,8700,8707.5,1.881,0.097,0.177,0.324,1.137,0.011
2,15,11/11/2016,8715,8722.5,2.352,0.094,0.184,0.344,1.589,0.011
3,15,11/26/2016,8730,8737.5,2.238,0.098,0.173,0.238,1.581,0.011
4,15,12/11/2016,8745,8752.5,1.970,0.095,0.178,0.282,1.272,0.011
5,15,12/26/2016,8760,8767.5,1.707,0.066,0.153,0.126,1.262,0.008
6,15,1/10/2017,8775,8782.5,1.127,0.047,0.135,0.070,0.803,0.006
7,15,1/25/2017,8790,8797.5,1.104,0.041,0.196,0.086,0.719,0.006
8,15,2/9/2017,8805,8812.5,0.445,0.023,0.057,0.039,0.290,0.003
9,15,2/24/2017,8820,8827.5,0.524,0.024,0.069,0.046,0.350,0.003
10,15,3/11/2017,8835,8842.5,2.258,0.097,0.202,0.406,1.408,0.013
11,15,3/26/2017,8850,8857.5,0.162,0.009,0.015,0.020,0.105,0.001
12,15,4/10/2017,8865,8872.5,0.527,0.049,0.016,0.155,0.232,0.005
13,15,4/25/2017,8880,8887.5,0.155,0.010,0.012,0.034,0.084,0.001
